"","caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"1","20120101120022","Florida",38,"Female","Native, Born in USA","Married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"$40,000 to $49,999",4,2,"Yes","No difficulty",2,0,0,0,0,528,60,0,0,0,5,0,0,0,0,95,750,750,0,0,60,0,0,0
"2","20120101120026","Virginia",17,"Female","Native, Born in USA","Never married","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"Less than $5,000",7,4,"Yes","No difficulty",350,0,0,0,0,120,60,0,0,0,0,0,0,0,210,25,675,649,26,0,60,0,0,0
"3","20120101120032","Georgia",20,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",9995,"Less than $5,000",2,1,"Yes","No difficulty",4,0,0,0,0,13,55,0,0,0,0,0,518,425,15,15,395,330,65,0,55,0,0,0
"4","20120101120061","Florida",58,"Male","Native, Born in USA","Married","Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Full time",40,"$25,000 to $29,999",2,0,"No","No difficulty",46,0,0,0,0,588,160,0,0,0,10,0,10,0,0,6,620,620,0,0,160,0,0,114
"5","20120101120068","South Carolina",65,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",16,"$15,000 to $19,999",1,0,"No","Has difficulty",120,40,0,240,60,415,40,0,0,195,120,0,0,0,0,15,195,150,40,5,40,0,0,355
"6","20120101120069","Texas",19,"Male","Foreign born, not US citizen","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",32,"$10,000 to $12,499",2,0,"No","No difficulty",65,0,0,0,60,120,10,0,0,0,5,0,340,0,0,30,810,720,90,0,10,0,0,0
"7","20120101120097","Mississippi",46,"Male","Native, Born in USA","Separated","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$7,500 to $9,999",1,0,"No","No difficulty",0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,65,540,540,0,0,0,0,0,0
"8","20120101120101","Pennsylvania",24,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",70,"$60,000 to $74,999",2,0,"No","No difficulty",105,0,0,0,0,283,40,0,0,0,160,0,0,0,0,70,735,690,45,0,40,0,0,110
"9","20120101120106","Indiana",34,"Male","Native, Born in USA","Divored","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",9999,"Less than $5,000",1,0,"No","No difficulty",119,0,0,0,0,452,30,0,0,0,35,0,3,0,0,26,765,720,45,0,30,0,0,0
"10","20120101120135","California",40,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",9999,"$75,000 to $99,999",4,2,"Yes","No difficulty",65,0,0,0,0,165,50,0,0,0,45,0,0,0,275,345,495,495,0,0,50,0,0,45
"11","20120101120147","Virginia",53,"Male","Native, Born in USA","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$50,000 to $59,999",2,1,"Yes","No difficulty",82,0,0,0,0,221,50,0,0,0,62,0,475,0,0,85,465,445,20,0,50,0,0,0
