"","Left_Right_Wing","BirthYear","Income","Religiousity","Education","Country","Location","Gender","Occupation","Marital_Status","Age"
"4178",3,1976,4,3,4,"Austria",1,1,722,4,40
"4761",3,1972,4,2,8,"Austria",4,2,233,1,44
"4299",5,1977,5,1,8,"Austria",1,1,216,1,39
"4857",7,1970,2,2,3,"Austria",2,1,723,4,46
"4892",5,1981,5,3,4,"Austria",3,1,522,4,35
"3979",4,1964,5,2,4,"Austria",2,1,121,1,52
"4454",0,1975,3,3,7,"Austria",2,2,226,1,41
"4946",6,1995,3,3,4,"Austria",1,1,441,4,21
"4479",3,1965,3,1,8,"Austria",2,1,216,4,51
"4356",0,1975,2,3,4,"Austria",1,2,412,3,41
"4944",5,1990,2,3,4,"Austria",1,1,834,4,26
"4339",5,1965,4,3,3,"Austria",1,1,141,1,51
"4612",3,1986,3,3,5,"Austria",2,2,235,4,30
"4485",3,1967,3,3,5,"Austria",2,1,241,3,49
"4008",6,1966,5,3,4,"Austria",2,1,313,1,50
"4833",5,1980,2,2,3,"Austria",2,1,723,4,36
"4135",5,1988,3,3,4,"Austria",3,2,721,1,28
"3978",5,1964,5,3,5,"Austria",4,2,264,3,52
"4195",2,1959,5,2,4,"Austria",3,1,241,1,57
"4875",5,1971,3,3,4,"Austria",3,2,411,1,45
"4804",3,1958,5,4,5,"Austria",3,1,334,1,58
"4611",8,1954,2,3,4,"Austria",1,1,722,1,62
"4543",5,1974,4,3,6,"Austria",1,2,412,1,42
"4891",8,1971,1,3,5,"Austria",2,1,241,4,45
"4564",6,1959,4,3,8,"Austria",4,1,111,1,57
"4633",3,1968,1,4,4,"Austria",1,1,263,4,48
"4419",5,1973,3,3,4,"Austria",1,1,314,1,43
"4481",7,1962,4,3,5,"Austria",1,1,611,1,54
"4158",5,1970,2,2,4,"Austria",4,1,752,4,46
"4025",0,1975,4,1,8,"Austria",4,1,134,4,41
"4932",5,1955,2,3,4,"Austria",4,2,421,3,61
"4785",7,1987,2,3,4,"Austria",2,2,532,4,29
"4581",1,1971,3,3,4,"Austria",1,1,552,1,45
"4690",3,1983,1,3,4,"Austria",1,1,522,4,33
"3968",4,1962,3,4,4,"Austria",1,2,911,2,54
"4330",2,1956,5,3,5,"Austria",1,1,132,1,60
"4653",4,1965,4,3,4,"Austria",2,2,524,1,51
"4099",5,1964,5,3,4,"Austria",1,2,141,1,52
"4173",0,1962,3,3,4,"Austria",2,1,311,1,54
"4111",3,1957,5,2,6,"Austria",1,2,235,1,59
"4022",5,1994,5,2,5,"Austria",1,1,31,4,22
"4252",5,1972,2,2,4,"Austria",1,2,411,1,44
"4250",4,1970,3,3,8,"Austria",2,2,222,1,46
"4208",3,1973,3,4,6,"Austria",2,2,235,1,43
"4024",4,1983,3,1,7,"Austria",3,2,243,4,33
"4019",5,1984,5,3,5,"Austria",1,2,411,4,32
